PWM,V_out,V_d,I_d_mA
0,0.0008,0.0016,0
1,0.0024,0.0024,0
2,0.004,0.0048,0
3,0.0064,0.0056,0.0037
4,0.0081,0.0089,0
5,0.0105,0.0105,0
6,0.0121,0.0121,0
7,0.0145,0.0153,0
8,0.0161,0.0169,0
9,0.0177,0.0185,0
10,0.021,0.021,0
11,0.0226,0.021,0.0074
12,0.0258,0.025,0.0037
13,0.0274,0.0266,0.0037
14,0.029,0.029,0
15,0.0306,0.0306,0
16,0.033,0.033,0
17,0.0347,0.0355,0
18,0.0363,0.0387,0
19,0.0371,0.0387,0
20,0.0411,0.0419,0
21,0.0435,0.0435,0
22,0.0451,0.0443,0.0037
23,0.0475,0.0484,0
24,0.0508,0.0508,0
25,0.0508,0.0516,0
26,0.0532,0.054,0
27,0.0556,0.0564,0
28,0.0572,0.058,0
29,0.0596,0.0604,0
30,0.0612,0.0621,0
31,0.0645,0.0637,0.0037
32,0.0653,0.0653,0
33,0.0685,0.0685,0
34,0.0701,0.0701,0
35,0.0685,0.0733,0
36,0.0741,0.0749,0
37,0.0749,0.0758,0
38,0.0774,0.079,0
39,0.0814,0.0806,0.0037
40,0.0822,0.083,0
41,0.0838,0.0846,0
42,0.0862,0.0862,0
43,0.0886,0.0886,0
44,0.0895,0.0903,0
45,0.0927,0.0935,0
46,0.0951,0.0951,0
47,0.0951,0.0975,0
48,0.0999,0.0991,0.0037
49,0.1032,0.1007,0.0111
50,0.104,0.1032,0.0037
51,0.1048,0.1056,0
52,0.1072,0.108,0
53,0.1096,0.108,0.0074
54,0.112,0.112,0
55,0.1136,0.1144,0
56,0.1144,0.1152,0
57,0.1168,0.1168,0
58,0.1193,0.1193,0
59,0.1217,0.1217,0
60,0.1233,0.1241,0
61,0.1257,0.1249,0.0037
62,0.1273,0.1273,0
63,0.1289,0.1297,0
64,0.1322,0.133,0
65,0.1338,0.1346,0
66,0.1354,0.137,0
67,0.1378,0.1386,0
68,0.1394,0.1394,0
69,0.1418,0.1418,0
70,0.1451,0.1442,0.0037
71,0.1467,0.1467,0
72,0.1483,0.1483,0
73,0.1507,0.1523,0
74,0.1523,0.1539,0
75,0.1531,0.1539,0
76,0.1555,0.1563,0
77,0.1588,0.1588,0
78,0.1596,0.1612,0
79,0.162,0.1628,0
80,0.1644,0.1652,0
81,0.1668,0.1668,0
82,0.1692,0.1684,0.0037
83,0.1708,0.1708,0
84,0.1725,0.1725,0
85,0.1749,0.1757,0
86,0.1765,0.1773,0
87,0.1797,0.1789,0.0037
88,0.1813,0.1813,0
89,0.1837,0.1837,0
90,0.1862,0.1862,0
91,0.1878,0.1886,0
92,0.1902,0.1886,0.0074
93,0.1918,0.191,0.0037
94,0.1934,0.1942,0
95,0.1958,0.195,0.0037
96,0.1982,0.1982,0
97,0.1999,0.1999,0
98,0.2039,0.2015,0.0111
99,0.2039,0.2047,0
100,0.2047,0.2047,0
101,0.2087,0.2079,0.0037
102,0.2103,0.2103,0
103,0.2111,0.2127,0
104,0.2136,0.2144,0
105,0.2168,0.2168,0
106,0.2176,0.2176,0
107,0.2208,0.2208,0
108,0.2208,0.2216,0
109,0.224,0.2256,0
110,0.2273,0.2264,0.0037
111,0.2281,0.2281,0
112,0.2313,0.2313,0
113,0.2329,0.2329,0
114,0.2361,0.2345,0.0074
115,0.2369,0.2377,0
116,0.2393,0.2393,0
117,0.2401,0.241,0
118,0.2442,0.2426,0.0074
119,0.2458,0.2458,0
120,0.2466,0.2474,0
121,0.249,0.2498,0
122,0.2506,0.2514,0
123,0.253,0.2514,0.0074
124,0.2555,0.2555,0
125,0.2579,0.2579,0
126,0.2611,0.2595,0.0074
127,0.2619,0.2619,0
128,0.2635,0.2643,0
129,0.2651,0.2651,0
130,0.2667,0.2684,0
131,0.27,0.27,0
132,0.2716,0.2732,0
133,0.2748,0.274,0.0037
134,0.2756,0.2764,0
135,0.2788,0.278,0.0037
136,0.2804,0.2804,0
137,0.2821,0.2829,0
138,0.2837,0.2837,0
139,0.2869,0.2869,0
140,0.2885,0.2885,0
141,0.2893,0.2901,0
142,0.2917,0.2933,0
143,0.2949,0.2941,0.0037
144,0.2966,0.2949,0.0074
145,0.2982,0.2982,0
146,0.2998,0.3006,0
147,0.303,0.3022,0.0037
148,0.3046,0.3046,0
149,0.3062,0.307,0
150,0.3095,0.3086,0.0037
151,0.3103,0.3111,0
152,0.3127,0.3127,0
153,0.3151,0.3143,0.0037
154,0.3167,0.3175,0
155,0.3183,0.3199,0
156,0.3215,0.3207,0.0037
157,0.3232,0.3232,0
158,0.3256,0.3264,0
159,0.328,0.3272,0.0037
160,0.3288,0.3296,0
161,0.3336,0.3312,0.0111
162,0.3336,0.3336,0
163,0.336,0.336,0
164,0.3385,0.3377,0.0037
165,0.3401,0.3393,0.0037
166,0.3425,0.3425,0
167,0.3441,0.3441,0
168,0.3449,0.3457,0
169,0.3481,0.3489,0
170,0.3497,0.3505,0
171,0.3514,0.3514,0
172,0.3538,0.3546,0
173,0.357,0.3562,0.0037
174,0.3586,0.3578,0.0037
175,0.361,0.3618,0
176,0.3626,0.3618,0.0037
177,0.3642,0.3651,0
178,0.3667,0.3667,0
179,0.3675,0.3683,0
180,0.3699,0.3707,0
181,0.3731,0.3723,0.0037
182,0.3747,0.3747,0
183,0.3771,0.3779,0
